coordinate,bias,empirical_sd,mean_naive_se,mean_corrected_se,mean_bootstrap_se,naive_coverage,corrected_coverage,bootstrap_coverage
0,-0.02182968007946178,0.120983709649497,0.08960687150580145,0.12239041501804712,0.15753844866938077,0.9,0.9,1.0
1,-0.029549734363224722,0.09794268194453117,0.06174064194825487,0.08622605598504599,1.5315350515753159,0.7,0.8,1.0
2,-0.021401419436300716,0.0635859714966907,0.06125933070384665,0.08744563699299948,1.5169427718397377,0.9,1.0,1.0
3,-0.0056583841417637915,0.06445310388706761,0.04380660374583307,0.06306359262030009,0.10805085511192924,0.7,1.0,1.0
4,0.0008717579542284415,0.0641709650611752,0.059545624878266465,0.0880950929562519,0.1122682416207766,1.0,1.0,1.0
5,-0.00374462754901414,0.07095104599709427,0.04320826974117063,0.06148200979167597,0.09759676225135759,0.7,0.9,0.9
6,-0.0055403961947431135,0.074578910415784,0.07423524913741684,0.09670964460539463,1.52547024405347,0.9,1.0,1.0
7,-0.010815410847104023,0.09199723672510843,0.07207731816221799,0.09227391696128152,1.5153914130138348,0.9,0.9,1.0
8,0.03371131322003234,0.07394874228652464,0.06056697986733869,0.07427882222380468,0.0904680926761346,0.9,1.0,1.0
9,-0.025686693281987232,0.0651848417919809,0.06859864487033679,0.09112064043181782,0.0900347911963825,0.9,1.0,1.0
10,0.0012868981411366096,0.07213177095003122,0.06200096687915071,0.07465235337171239,0.08554723251029198,1.0,1.0,1.0
11,0.512029778969923,0.4988514845823108,0.5341321869212894,0.5988205730207085,0.807924557810853,1.0,1.0,0.9
